,s1,s2,score
17783,Mission: ImpossibleâFallout,Mission: Impossible - Fallout,0.10344827586206896
362195,New Yearâs Eve,New Year's Eve,0.1875
529975,Transformers,Transformer,0.08333333333333333
927923,Des Hommes et Des Dieux,Des hommes et des dieux,0.13043478260869565
1094584,Now You See Me,Do You See Me,0.14285714285714285
1585015,Beginnerâs Guide to Sex,Beginner's Guide to Sex,0.12
1639471,Nurse 3D,Nurse 3-D,0.1111111111111111
1684151,This is the End,This Is the End,0.06666666666666667
1766713,Ondine,Online,0.16666666666666666
1864738,The Motel,The Model,0.1111111111111111
1875363,The Ten,The Den,0.14285714285714285
2139963,Transcendence,Transcendent,0.15384615384615385
2462653,The Perfect Wave,The Perfect Date,0.125
2821141,The Perfect Match,The Perfect Date,0.17647058823529413
2957400,Skyfall,Spyfall,0.14285714285714285
3450811,Diary of the Dead,War of the Dead,0.17647058823529413
3747323,Insidious Chapter 2,Insidious: Chapter 2,0.05
4253351,Little Man,Little Land,0.18181818181818182
4263762,Indivisible,Invisible,0.18181818181818182
4490780,Extremely Loud and Incredibly Close,Extremely Loud & Incredibly Close,0.08571428571428572
4527588,The Painted Veil,The Tainted Veil,0.0625
4615094,Chiamatemi Francesco - Il papa della gente,Chiamatemi Francesco - Il Papa della gente,0.023809523809523808
4769935,Jin lÃ­ng shÃ­ san chai,Jin ling shi san chai,0.17391304347826086
4865146,Tropa de Elite,Copa de Elite,0.14285714285714285
5042621,Not Safe For Work,Not Safe for Work,0.058823529411764705
5131485,Insidious Chapter 3,Insidious: Chapter 2,0.1
5528178,Believe,Believer,0.125
5889643,Jesse,Jessie,0.16666666666666666
6133654,Blackhat,Blackhats,0.1111111111111111
6469145,Battle: Los Angeles,Battle Los Angeles,0.05263157894736842
6505601,The Perfect Game,The Perfect Date,0.125
6690439,Birth of the Dragon,Fist of the Dragon,0.15789473684210525
6858898,The Pet,The Bet,0.14285714285714285
7048443,Mine Vaganti,Mine vaganti,0.08333333333333333
7318402,Stuck,#Stuck,0.16666666666666666
7451305,The East,The Past,0.125
7554517,Keeping Up with the Steins,Keeping Up with the Joneses,0.18518518518518517
7619866,The Longest Ride,The Longest Game,0.1875
7768724,The Women,The Woman,0.1111111111111111
10171982,Heroes,Héroes,0.16666666666666666
10436413,The Deported,The Reporter,0.16666666666666666
10516989,A Haunting in Connecticut 2: The Ghosts of Georgia,The Haunting in Connecticut 2: Ghosts of Georgia,0.14
10669536,Parker,Parked,0.16666666666666666
11227494,The Descent,The Ascent,0.18181818181818182
11227689,The Descent,The Crescent,0.16666666666666666
11241663,Psych 9,Psych:9,0.14285714285714285
12014552,The Lake House,The Last House,0.14285714285714285
12186274,The Calling,Trew Calling,0.16666666666666666
12534935,Jerusalema,Jerusalem,0.1
13273771,Son of God,Sons of God,0.09090909090909091
13391105,Nightlights,NightLights,0.09090909090909091
13683208,The Strangers,The Stranger,0.07692307692307693
13898593,Motherhood,Brotherhood,0.18181818181818182
14604846,Underdogs,Underdog,0.1111111111111111
14842015,The Words,The Woods,0.1111111111111111
15819242,8 Days,6 Days,0.16666666666666666
16015185,The Post,The Past,0.125
16073985,Finding Dory,Finding Cody,0.16666666666666666
16079405,Finding Dory,Finding Joy,0.16666666666666666
16486809,The Devil's Tomb,The Devil's Rock,0.1875
16555539,Day of the Dead,War of the Dead,0.13333333333333333
16871707,The Wild,The Wind,0.125
17371532,This is Where I Leave You,This Is Where I Leave You,0.04
17729839,"Men, Women and Children","Men, Women & Children",0.13043478260869565
17840765,The Boy Next Door,The Ex Next Door,0.17647058823529413
18213255,The Gallows,The Hallow,0.18181818181818182
19384811,The Unborn,The Unicorn,0.18181818181818182
19505371,Fugly,Fugly!,0.16666666666666666
19904391,The Good Night,That Good Night,0.13333333333333333
19948703,Drive,Dérive,0.16666666666666666
20032596,The Bounce Back,The Bounceback,0.13333333333333333
20733711,Sultan,Suntan,0.16666666666666666
21352608,Fist Fight,First Light,0.18181818181818182
21352722,Fist Fight,First Night,0.18181818181818182
21616444,After Earth,After Party,0.18181818181818182
21861947,A Dogâs Way Home,A Dog's Way Home,0.16666666666666666
22003209,The Spy Next Door,The Ex Next Door,0.17647058823529413
22322162,Snitch,Switch,0.16666666666666666
23147558,American Hustle,American Justice,0.1875
23751114,Now is Good,Now Is Good,0.09090909090909091
23854739,A Better Life,Better Life,0.15384615384615385
23925924,The Eye,The Eyes,0.125
23970390,The Wolfman,The Woman,0.18181818181818182
24917252,Happily N'Ever After,Happily Ever After,0.1
25190201,My Life in Ruins,My Life in China,0.1875
25369201,Almost Christmas,Lost Christmas,0.1875
26078818,American Dreamz,American Dreamer,0.125
27068207,The Christmas Candle,The Christmas Calendar,0.18181818181818182
27592772,The Girl with all the Gifts,The Girl with All the Gifts,0.037037037037037035
